[ 2023-08-30 19:50:03,177 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:50:04,655 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:50:04,693 ] 10 root - data ingest started!
[ 2023-08-30 19:50:04,693 ] 15 root - paths are created for data
[ 2023-08-30 19:50:04,830 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:50:04,833 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:50:09,201 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:50:09] "GET / HTTP/1.1" 200 -
[ 2023-08-30 19:50:15,516 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:50:15] "POST / HTTP/1.1" 200 -
[ 2023-08-30 19:50:54,895 ] 186 werkzeug -  * Detected change in 'c:\\users\\manoj\\desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 19:50:55,141 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:50:56,575 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:50:56,604 ] 10 root - data ingest started!
[ 2023-08-30 19:50:56,604 ] 15 root - paths are created for data
[ 2023-08-30 19:50:56,717 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:50:56,720 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:51:26,231 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:51:26,258 ] 10 root - data ingest started!
[ 2023-08-30 19:51:26,258 ] 15 root - paths are created for data
[ 2023-08-30 19:51:26,368 ] 186 werkzeug - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[ 2023-08-30 19:51:26,368 ] 186 werkzeug - [33mPress CTRL+C to quit[0m
[ 2023-08-30 19:51:26,369 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:51:27,565 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:51:27,590 ] 10 root - data ingest started!
[ 2023-08-30 19:51:27,591 ] 15 root - paths are created for data
[ 2023-08-30 19:51:27,699 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:51:27,701 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:51:32,120 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:51:32] "POST / HTTP/1.1" 200 -
[ 2023-08-30 19:51:39,228 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:51:39] "POST / HTTP/1.1" 200 -
[ 2023-08-30 19:52:36,005 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:52:36] "GET / HTTP/1.1" 200 -
[ 2023-08-30 19:52:40,268 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:52:40] "GET / HTTP/1.1" 200 -
[ 2023-08-30 19:52:41,308 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:52:41] "GET / HTTP/1.1" 200 -
[ 2023-08-30 19:52:41,528 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:52:41] "GET / HTTP/1.1" 200 -
[ 2023-08-30 19:52:41,788 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:52:41] "GET / HTTP/1.1" 200 -
[ 2023-08-30 19:52:41,995 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:52:41] "GET / HTTP/1.1" 200 -
[ 2023-08-30 19:52:51,381 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:52:51] "POST / HTTP/1.1" 200 -
[ 2023-08-30 19:53:26,457 ] 186 werkzeug -  * Detected change in 'c:\\Users\\manoj\\Desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 19:53:26,756 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:53:28,000 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:53:28,026 ] 10 root - data ingest started!
[ 2023-08-30 19:53:28,026 ] 15 root - paths are created for data
[ 2023-08-30 19:53:28,136 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:53:28,139 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:53:32,388 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:53:32] "POST / HTTP/1.1" 200 -
[ 2023-08-30 19:54:36,705 ] 186 werkzeug -  * Detected change in 'c:\\Users\\manoj\\Desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 19:54:36,961 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:54:38,460 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:54:38,490 ] 10 root - data ingest started!
[ 2023-08-30 19:54:38,490 ] 15 root - paths are created for data
[ 2023-08-30 19:54:38,597 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:54:38,602 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:54:42,744 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:54:42] "POST / HTTP/1.1" 200 -
[ 2023-08-30 19:54:58,451 ] 186 werkzeug -  * Detected change in 'c:\\Users\\manoj\\Desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 19:54:58,642 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:54:59,832 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:54:59,857 ] 10 root - data ingest started!
[ 2023-08-30 19:54:59,857 ] 15 root - paths are created for data
[ 2023-08-30 19:54:59,956 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:54:59,959 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:55:27,220 ] 186 werkzeug -  * Detected change in 'c:\\Users\\manoj\\Desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 19:55:27,417 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:55:28,541 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:55:28,566 ] 10 root - data ingest started!
[ 2023-08-30 19:55:28,566 ] 15 root - paths are created for data
[ 2023-08-30 19:55:28,673 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:55:28,676 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:55:35,373 ] 20 root - data paths created !
[ 2023-08-30 19:55:35,373 ] 24 root - enter the data ingestion part 2
[ 2023-08-30 19:55:35,525 ] 26 root - data has read sucessfuly
[ 2023-08-30 19:55:35,526 ] 41 root - dataframe had created sucessfuly
[ 2023-08-30 19:55:35,527 ] 43 root - directory has created
[ 2023-08-30 19:55:35,881 ] 47 root - data ingest sucessfully
[ 2023-08-30 19:55:35,883 ] 19 root - entered data transformation
[ 2023-08-30 19:55:35,910 ] 21 root - data read sucessfully for transformation!
[ 2023-08-30 19:55:35,912 ] 23 root - dropped duplicates
[ 2023-08-30 19:55:35,917 ] 25 root - data transformed sucess
[ 2023-08-30 19:55:35,964 ] 28 root - vectorization is sucessfully created
[ 2023-08-30 19:55:35,965 ] 31 root - pickle file is created
[ 2023-08-30 19:55:36,076 ] 34 root - recommend process1 started
[ 2023-08-30 19:55:36,076 ] 35 root - pickle load!
[ 2023-08-30 19:55:36,078 ] 37 root - pickle loading process sucessful
[ 2023-08-30 19:55:38,653 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:55:38] "POST / HTTP/1.1" 200 -
[ 2023-08-30 21:03:13,134 ] 186 werkzeug -  * Detected change in 'c:\\users\\manoj\\desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 21:03:13,429 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 21:03:15,082 ] 13 root -  vectorization paths are created
[ 2023-08-30 21:03:15,122 ] 10 root - data ingest started!
[ 2023-08-30 21:03:15,123 ] 15 root - paths are created for data
[ 2023-08-30 21:03:15,246 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 21:03:15,251 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 21:03:22,959 ] 186 werkzeug -  * Detected change in 'c:\\users\\manoj\\desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 21:03:23,153 ] 186 werkzeug -  * Restarting with stat
